ANO_ELEICAO;SG_UF;DS_CARGO;TP_AGREMIACAO;DS_COMPOSICAO_COLIGACAO;NM_UE
2000;RN;PREFEITO;COLIGA플O;PMDB / PPB / PPS / PTB ;VARZEA
2000;PR;PREFEITO;COLIGA플O;PFL / PL / PPB / PRN / PRP / PSB / PSC / PSD / PSL / PST / PT do B / PTB / PTN;CURITIBA
2000;PR;PREFEITO;COLIGA플O;PTB / PSDB / PPS;IMBAU
2000;PR;PREFEITO;COLIGA플O;PT / PL / PMDB / PV / PSL / PMN / PRP ;FENIX
2000;SP;PREFEITO;COLIGA플O;PMDB / PSB / PFL / PPB / PSD / PSL ;GARCA
2000;MG;PREFEITO;COLIGA플O;PT / PCB ;SANTA LUZIA
2000;MG;PREFEITO;COLIGA플O;PMDB / PT / PDT / PPS / PFL / PSDB ;SANTANA DO DESERTO
2000;CE;PREFEITO;COLIGA플O;PSD / PTB / PL / PPB / PC do B / PSL;BOA VIAGEM
2000;PR;PREFEITO;COLIGA플O;PC do B / PST / PCB / PMN / PSB ;PARANAGUA
2000;PI;PREFEITO;COLIGA플O;PMDB / PPS / PDT ;NOVO SANTO ANTONIO
2000;PI;PREFEITO;COLIGA플O;PMDB / PSDB / PDT / PT ;NOSSA SENHORA DE NAZARE
2000;MS;PREFEITO;COLIGA플O;PT / PRP / PST / PPS / PRONA / PC do B ;CORUMBA
2000;MG;PREFEITO;COLIGA플O;PMDB / PL / PDT / PPB ;SAO JOAO EVANGELISTA
2000;RS;PREFEITO;COLIGA플O;PTB / PMDB / PPS / PSB / PSDB ;ELDORADO DO SUL
2000;RS;PREFEITO;COLIGA플O;PDT / PT ;CONDOR
2000;SP;PREFEITO;COLIGA플O;PMDB / PPS / PFL / PV / PSDB ;DUARTINA
2000;SP;PREFEITO;COLIGA플O;PPS / PFL / PTB / PL / PSDC ;ITU
2000;SP;PREFEITO;COLIGA플O;PT / PDT / PV / PTB / PC do B ;JABOTICABAL
2000;MA;PREFEITO;COLIGA플O;PMDB / PFL ;PERI MIRIM
2000;MA;PREFEITO;COLIGA플O;PPB / PL / PFL;PIRAPEMAS
2000;MS;PREFEITO;COLIGA플O;PDT / PT / PMDB / PTB ;PORTO MURTINHO
2000;AM;PREFEITO;COLIGA플O;PSDB / PFL / PTB / PST / PV / PDT;BARCELOS
2000;MA;PREFEITO;COLIGA플O;PSD / PFL / PSDB / PDT / PTB ;SITIO NOVO
2000;BA;PREFEITO;COLIGA플O;PT / PDT / PSDB / PC do B ;BARRA DO CHOCA
2000;BA;PREFEITO;COLIGA플O;PSC / PSDB / PL / PST / PMDB / PRP;MARAU
2000;BA;PREFEITO;COLIGA플O;PSL / PFL ;MIRANTE
2000;BA;PREFEITO;COLIGA플O;PTB / PSL / PL / PSC ;ITAGI
2000;BA;PREFEITO;COLIGA플O;PTB / PMDB / PSDC / PRN / PSD ;ITAMARAJU
2000;SE;PREFEITO;COLIGA플O;PSB / PSDB ;SANTA ROSA DE LIMA
2000;MA;PREFEITO;COLIGA플O;PSB / PDT / PSDB / PTB / PAN / PTN / PT ;BOM JARDIM
2000;MA;PREFEITO;COLIGA플O;PFL / PSDB / PT do B ;MIRANDA DO NORTE
2000;TO;PREFEITO;COLIGA플O;PPB / PSDB / PTB / PL / PMDB / PT;CENTENARIO
2000;TO;PREFEITO;COLIGA플O;PSN / PSDB;LAGEADO
2000;TO;PREFEITO;COLIGA플O;PT / PMDB / PPS ;BARROLANDIA
2000;RS;PREFEITO;COLIGA플O;PMDB / PTB;RODEIO BONITO
2000;RS;PREFEITO;COLIGA플O;PPB / PDT;CHUVISCA
2000;RS;PREFEITO;COLIGA플O;PSB / PPB;ROQUE GONZALES
2000;MG;PREFEITO;COLIGA플O;PSC / PTB / PPS / PMDB / PSDB ;BOM JESUS DO AMPARO
2000;RN;PREFEITO;COLIGA플O;PMDB / PPB / PT do B;TANGARA
2000;SP;PREFEITO;COLIGA플O;PMDB / PPS / PHS ;GUAIMBE
2000;SP;PREFEITO;COLIGA플O;PMDB / PPS / PHS ;GUAIMBE
2000;AC;PREFEITO;COLIGA플O;PT / PC do B / PPS / PMN ;BUJARI
2000;AC;PREFEITO;COLIGA플O;PSDB / PT / PC do B / PV / PMN / PSB / PPS / PDT ;ACRELANDIA
2000;AL;PREFEITO;COLIGA플O;PL / PGT / PRONA / PRTB / PSC / PST / PTN ;PARIPUEIRA
2000;AL;PREFEITO;COLIGA플O;PDT / PMDB / PPS / PT / PV ;PARIPUEIRA
2000;PI;PREFEITO;COLIGA플O;PMDB / PPS ;HUGO NAPOLEAO
2000;PI;PREFEITO;COLIGA플O;PFL / PPB ;LUIS CORREIA
2000;SC;PREFEITO;COLIGA플O;PPB / PFL ;IPUMIRIM
2000;SC;PREFEITO;COLIGA플O;PPB / PFL / PSDB / PSL / PL / PTB / PRTB / PAN ;ITAJAI
2000;GO;PREFEITO;COLIGA플O;PSDB / PPB / PSD / PST / PT / PC do B / PFL / PTB / PL ;PALMEIRAS DE GOIAS
2000;GO;PREFEITO;COLIGA플O;PSDB / PPB / PSD / PL / PTB / PSB / PSDC / PC do B / PST / PDT ;POSSE
2000;PE;PREFEITO;COLIGA플O;PFL / PPB / PSDB;IPUBI
2000;MG;PREFEITO;COLIGA플O;PSDB / PSD / PFL / PL ;SAO JOSE DA VARGINHA
2000;BA;PREFEITO;COLIGA플O;PL / PFL / PTB / PSC / PSB;ITANHEM
2000;BA;PREFEITO;COLIGA플O;PPB / PL ;ITUACU
2000;BA;PREFEITO;COLIGA플O;PT / PV / PC do B;JEQUIE
2000;AM;PREFEITO;COLIGA플O;PFL / PMDB / PSB / PPS / PDT / PRP / PSDB ;MANACAPURU
2000;MG;PREFEITO;COLIGA플O;PPB / PL / PSDB;SANTA EFIGENIA DE MINAS
2000;SP;PREFEITO;COLIGA플O;PTB / PMDB / PPB / PFL;CERQUILHO
2000;SP;PREFEITO;COLIGA플O;PFL / PPB / PL / PRP / PV / PSD / PMDB ;ARARAS
2000;SP;PREFEITO;COLIGA플O;PTB / PPB / PPS / PFL ;ESTRELA D OESTE
2000;MA;PREFEITO;COLIGA플O;PSC / PMN / PSD / PSB ;PINDARE MIRIM
2000;MA;PREFEITO;COLIGA플O;PFL / PTB / PPS / PSDB / PDT / PC do B / PRP / PL ;PIO XII
2000;SP;PREFEITO;COLIGA플O;PFL / PSDB / PL / PPB / PMDB ;CHARQUEADA
2000;SP;PREFEITO;COLIGA플O;PFL / PRONA / PPB / PAN / PSB / PTN / PRN ;ARACATUBA
2000;SP;PREFEITO;COLIGA플O;PPB / PDT / PMDB / PSL / PSD;ITAOCA
2000;SP;PREFEITO;COLIGA플O;PMDB / PSD / PTB / PPS ;ELIAS FAUSTO
